hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = AHK
add_core = MYI
owner = AHK
controller = AHK

culture = awa_c
religion = shinto
capital = "Ichinomiya"
is_city = yes

base_tax = 4
base_production = 3
base_manpower = 3

trade_goods = cloth

1511.9.25 = {
    controller = MYI
    owner = MYI
	remove_core = AHK
	shipyard = yes
}

1582.6.21 = {
    add_core = SGO
    controller = SGO
    owner = SGO
	remove_core = MYI
	wharf = yes
}

1600.9.13 = {
	controller = HCH
    owner = HCH
	add_core = HCH
	remove_core = SGO
}

1615.1.1 = {
	controller = MYI
    owner = MYI
	add_core = MYI
	remove_core = HCH
	religion = nichirenshu
}
