hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = BHK
add_core = SHX
add_core = IKW
add_core = UEN
owner = BHK
controller = BHK

culture = bishu_c
religion = shinto
capital = "Matsuyama"
is_city = yes
fortified_mansion = yes
training_grounds = yes

base_tax = 4
base_production = 4
base_manpower = 4

trade_goods = metal

1511.9.25 = {
    add_core = MIM
    owner = MIM
    controller = MIM
}

1536.4.7 = {
    add_core = AMA
    owner = AMA
    controller = AMA
	garrison_b = yes
}

1554.3.1 = {
    owner = MIM
    controller = MIM
	barracks = yes
}

1582.6.21 = {
    add_core = MRI
    owner = MRI
    controller = MRI
}
