hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = HSK
add_core = HTN
add_core = HGN
owner = HSK
controller = HSK

culture = tanshu_c
religion = shinto
capital = "Kuroi"
is_city = yes
fortified_mansion = yes
training_grounds = yes

base_tax = 4
base_production = 4
base_manpower = 3

trade_goods = lumber

1523.8.25 = {
    owner = HTN
    controller = HTN
	remove_core = HSK
	layered_enclosures = yes
}

1554.3.1 = {
    owner = HGN
    controller = HGN
	barracks = yes
	arsenal = yes
}

1582.6.21 = {
    owner = AKC
    controller = AKC
    add_core = AKC
	remove_core = HGN
	remove_core = HTN
}

1600.9.13 = {
    owner = TOY
    controller = TOY
    add_core = TOY
	remove_core = AKC
}

1615.1.1 = {
	owner = HGN
    controller = HGN
    add_core = HGN
	remove_core = TOY
}
