hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = WTK
owner = WTK
controller = WTK

culture = echizen_c
religion = shinto
capital = "Saichiyama"
is_city = yes

base_tax = 4
base_production = 4
base_manpower = 2
merchant_guild = yes

trade_goods = dyes

1569.10.10 = {
    add_core = ASA
    owner = ASA
    controller = ASA
	shipyard = yes
}

1582.6.21 = {
    add_core = NIW
    controller = NIW
    owner = NIW
	remove_core = WTK
	remove_core = ASA
}

1600.9.13 = {
    add_core = KNS
    controller = KNS
    owner = KNS
	remove_core = NIW
}

1615.1.1 = {
	add_core = WTK
    controller = WTK
    owner = WTK
	remove_core = KNS
}
