hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = TKI
add_core = AKC
owner = TKI
controller = TKI

culture = mino_c
religion = shinto
capital = "Tsumagi"
is_city = yes
workshop = yes
merchant_guild = yes

base_tax = 5
base_production = 5
base_manpower = 3

trade_goods = pottery

1546.5.19 = {
	add_core = STO
    controller = STO
    owner = STO
	remove_core = TKI
	free_market = yes
	shrine = yes
}

1569.10.10 = {
    add_core = ODA
    controller = ODA
    owner = ODA
	remove_core = STO
	shrine_town = yes
}

1582.6.21 = {
	add_core = OMO
    controller = OMO
    owner = OMO
	remove_core = ODA
	remove_core = AKC
}

1600.9.13 = {
	add_core = ODA
    controller = ODA
    owner = ODA
	remove_core = OMO
}

1615.1.1 = {
	add_core = AKC
    controller = AKC
    owner = AKC
	remove_core = ODA
}
