hre = no
discovered_by = japanese_tech
discovered_by = ainu_tech




add_core = SBA
add_core = ASH
owner = SBA
controller = SBA

culture = minami_chubu_c
religion = shinto
capital = "Yokochi"
is_city = yes
barracks = yes

base_tax = 3
base_production = 3
base_manpower = 4

trade_goods = tea

1511.9.25 = {
    owner = IMG
    controller = IMG
    add_core = IMG
	remove_core = SBA
}

1569.10.10 = {
    add_core = TKG
    owner = TKG
    controller = TKG
	remove_core = ASH
	remove_core = IMG
	training_grounds = yes
}

1600.9.13 = {
	add_core = YMC
    owner = YMC
    controller = YMC
	remove_core = TKG
}

1615.1.1 = {
	add_core = SBA
    owner = SBA
    controller = SBA
	remove_core = YMC
}
