hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = TKD
add_core = ATB
owner = TKD
controller = TKD

culture = kai_c
religion = shinto
capital = "Yoshida"
is_city = yes
shrine_town = yes
barracks = yes

base_tax = 4
base_production = 4
base_manpower = 4

trade_goods = horses

1536.4.7 = {
	training_grounds = yes
}

1582.6.21 = {
    add_core = KWJ
    owner = KWJ
    controller = KWJ
	remove_core = TKD
	remove_core = ATB
}

1600.9.13 = {
	add_core = ANO
    owner = ANO
    controller = ANO
	remove_core = KWJ
}

1615.1.1 = {
	add_core = TKD
    owner = TKD
    controller = TKD
	remove_core = ANO
	religion = nichirenshu
}
