hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = KTK
owner = KTK
controller = KTK

culture = boso_c
religion = shinto
capital = "Kaneya"
is_city = yes
shrine = yes
shipyard = yes

base_tax = 5
base_production = 3
base_manpower = 3

trade_goods = rice

1523.8.25 = {
    add_core = OAK
    controller = OAK
    owner = OAK
}

1546.5.19 = {
    add_core = STM
    controller = STM
    owner = STM
	remove_core = OAK
}

1600.9.13 = {
	add_core = TKG
    controller = TKG
    owner = TKG
	add_core = HND
	remove_core = HJO
	remove_core = STM
	remove_core = KTK
}

1615.1.1 = {
	add_core = HND
    controller = HND
    owner = HND
	remove_core = TKG
}
