hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = UES
add_core = NGN
owner = UES
controller = UES

culture = kozuke_c
religion = shinto
capital = "Ichigosan"
is_city = yes
shrine_town = yes

base_tax = 3
base_production = 3
base_manpower = 2

trade_goods = rice

1554.3.1 = {
    add_core = HJO
    controller = HJO
    owner = HJO
	add_core = TKD
	magistrate = yes
}

1569.10.10 = {
    add_core = TKD
    controller = TKD
    owner = TKD
}

1582.6.21 = {
	add_core = TAK
    owner = TAK
    controller = TAK
	remove_core = NGN
	remove_core = HJO
	remove_core = UES
	remove_core = TKD
}

1600.9.13 = {
	add_core = TKG
    owner = TKG
    controller = TKG
	add_core = OKU
	remove_core = TAK
}

1615.1.1 = {
	add_core = UES
    owner = UES
    controller = UES
	remove_core = TKG
}
