hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = EGU
add_core = NAO
owner = EGU
controller = EGU

culture = iwafune_c
religion = shinto
capital = "Sanjo"
is_city = yes
shrine = yes

base_tax = 5
base_production = 3
base_manpower = 3

trade_goods = lacquerware

1493.6.9 = {
	religion = jodoshinshu
}

1554.3.1 = {
	add_core = NGO
    controller = NGO
    owner = NGO
	remove_core = EGU
	merchant_guild = yes
	training_grounds = yes
}

1569.10.10 = {
    add_core = UES
    remove_core = NGO
    owner = UES
    controller = UES
}

1600.9.13 = {
	add_core = MZG
	controller = MZG
    owner = MZG
	remove_core = UES
	remove_core = NAO
}

1615.1.1 = {
	add_core = NAO
    owner = NAO
    controller = NAO
	remove_core = MZG
	religion = shinto
}
