hre = no
discovered_by = kyushu
discovered_by = saigoku
discovered_by = togoku
discovered_by = tohoku
discovered_by = ainu

add_core = OUC
add_core = AUM
owner = OUC
controller = OUC

culture = akizuki_c
religion = shinto
capital = "Takatoriyama"
is_city = yes
barracks = yes

base_tax = 4
base_production = 4
base_manpower = 3

trade_goods = rice

1554.3.1 = {
	add_core = AKZ
	controller = AKZ
	owner = AKZ
	training_grounds = yes
}

1569.10.10 = {
	add_core = OTM
    controller = OTM
    owner = OTM
	remove_core = OUC
}

1600.9.13 = {
	add_core = KBY
    controller = KBY
    owner = KBY
	remove_core = OTM
	remove_core = RZJ
	remove_core = AKZ
	remove_core = AUM
}

1615.1.1 = {
	add_core = TKH
    controller = TKH
    owner = TKH
	remove_core = KBY
}
