province;red;green;blue;x;x
1;128;34;64;Ibusuki;x
2;0;36;128;Ei;x
3;128;38;192;Kawanabe;x
4;0;40;255;Kire;x
5;128;42;0;Ata;x
6;0;44;64;Taniyama;x
7;129;46;128;Izaku;x
8;1;48;192;Hioki;x
9;129;50;255;Kagoshima;x
10;1;52;0;Satsuma;x
11;129;54;64;Satsuma-Taki;x
12;1;56;128;Kuwabara;x
13;129;58;192;Satsuma-Izumi;x
14;2;60;255;Osumi;x
15;130;62;0;Miyazaki;x
16;2;64;64;Hishikari;x
17;130;66;128;Kimotsuki;x
18;2;68;192;So;x
19;130;70;255;Morokata;x
20;2;72;0;Hyuga-Naka;x
21;131;74;64;Koyu;x
22;3;76;128;Ashikita;x
23;131;78;192;Kuma;x
24;3;80;255;Higo-Yatsushiro;x
25;131;82;0;Uto;x
26;3;84;64;Amakusa;x
27;131;86;128;Mashiki;x
28;4;88;192;Takuma;x
29;132;90;255;Higo-Akita;x
30;4;92;0;Aso;x
31;132;94;64;Goshi;x
32;4;96;128;Kikuchi;x
33;132;98;192;Higo-Yamamoto;x
34;4;100;255;Higo-Yamaga;x
35;133;102;0;Tamana;x
36;5;104;64;Usuki;x
37;133;106;128;Bungo-Ama;x
38;5;108;192;Bungo-Ono;x
39;133;110;255;Naoiri;x
40;5;112;0;Oita;x
41;133;114;64;Hayami;x
42;6;116;128;Kunisaki;x
43;134;118;192;Usa;x
44;6;120;255;Shimoge;x
45;134;122;0;Kusu;x
46;6;124;64;Hita;x
47;134;126;128;Takaku;x
48;6;128;192;Sonoki;x
49;135;130;255;Hizen-Kii;x
50;7;132;0;Hizen-Yabu;x
51;135;134;64;Hizen-Mine;x
52;7;136;128;Kamusaki;x
53;135;138;192;Saga;x
54;7;140;255;Ogi;x
55;135;142;0;Kishima;x
56;8;144;64;Fujitsu;x
57;136;146;128;Mike;x
58;8;148;192;Yamato;x
59;136;150;255;Mizuma;x
60;8;152;0;Shimotsuma;x
61;136;154;64;Chikuzen-Ito;x
62;8;156;128;Shima;x
63;137;158;192;Sawara;x
64;9;32;255;Chikuzen-Naka;x
65;137;34;0;Chikuzen-Mushiroda;x
66;9;36;64;Kasuya;x
67;137;38;128;Munakata;x
68;9;40;192;Onga;x
69;137;42;255;Kurate;x
70;10;44;0;Honami;x
71;138;46;64;Kama;x
72;10;48;128;Kiku;x
73;138;50;192;Miyako;x
74;10;52;255;Nakatsu;x
75;138;54;0;Tsuiki;x
76;10;56;64;Koge;x
77;139;58;128;Buzen-Tagawa;x
78;11;60;192;Kozuma;x
79;139;62;255;Ikuha;x
80;11;64;0;Takeno;x
81;139;66;64;Chikugo-Yamamoto;x
82;11;68;128;Mii;x
83;139;70;192;Chikugo-Mihara;x
84;12;72;255;Mikasa;x
85;140;74;0;Chikuzen-Yasu;x
86;12;76;64;Geza;x
87;140;78;128;Joza;x
88;12;80;192;Matsura;x
89;140;82;255;Goto;x
90;12;84;0;Ishida;x
91;141;86;64;Iki;x
92;13;88;128;Shimoagata;x
93;141;90;192;Kamiagata;x
94;13;92;255;Tanegashima;x
95;141;94;0;Uwa;x
96;13;96;64;Kita;x
97;141;98;128;Ukena;x
98;14;100;192;Iyo;x
99;142;102;255;Iyo-Kume;x
100;14;104;0;Onsen;x
101;142;106;64;Shufu;x
102;14;108;128;Iyo-Wake;x
103;85;80;32;Kazahaya;x
104;14;112;255;Kuwamura;x
105;143;114;0;Noma;x
106;15;116;64;Iyo-Ochi;x
107;143;118;128;Hata;x
108;15;120;192;Toyoura;x
109;143;122;255;Otsu;x
110;15;124;0;Asa;x
111;143;126;64;Nagato-Mine;x
112;16;128;128;Abu;x
113;144;130;192;Yoshiki;x
114;16;132;255;Saba;x
115;144;134;0;Tsuno;x
116;16;136;64;Kumage;x
117;144;138;128;Suo-Oshima;x
118;16;140;192;Kuga;x
119;145;142;255;Iwami-Ano;x
120;17;144;0;Nima;x
121;145;146;64;Iwami-Naka;x
122;17;148;128;Iwami-Mino;x
123;145;150;192;Kanoashi;x
124;17;152;255;Iwami-Ochi;x
125;145;154;0;Saeki;x
126;18;156;64;Aki;x
127;146;158;128;Aki-Kamo;x
128;18;32;192;Numata;x
129;146;34;255;Masuta;x
130;18;36;0;Takata;x
131;146;38;64;Takamiya;x
132;18;40;128;Aki-Yamagata;x
133;147;42;192;Kando;x
134;19;44;255;Iishi;x
135;147;46;0;Tosa-Aki;x
136;19;48;64;Tosa-Kami;x
137;147;50;128;Tosa-Nagaoka;x
138;19;52;192;Uma;x
139;147;54;255;Nii;x
140;20;56;0;Toyota;x
141;148;58;64;Sanuki-Mino;x
142;20;60;128;Sanuki-Naka;x
143;148;62;192;Tado;x
144;20;64;255;Utari;x
145;148;66;0;Aya;x
146;20;68;64;Kagawa;x
147;149;70;128;Sanuki-Yamada;x
148;21;72;192;Miki;x
149;149;74;255;Sangawa;x
150;21;76;0;Sanuki-Ochi;x
151;149;78;64;Mima;x
152;21;80;128;Miyoshi;x
153;149;82;192;Itano;x
154;22;84;255;Myodo;x
155;150;86;0;Katsuura;x
156;22;88;64;Awa-Naka;x
157;150;90;128;Myozai;x
158;22;92;192;Oe;x
159;150;94;255;Awa;x
160;22;96;0;Kaifu;x
161;151;98;64;Tosa;x
